ano_pesquisa,ds_mercado,total
2017,Alojamento e alimentação,7340
2017,"Artes, cultura, esporte e recreação, outras atividades de serviços",3262
2017,"Atividades imobiliárias atividades profissionais, científicas e técnicas, atividades administrativas e serviços complementares",17385
2017,"Comércio, reparação de veículos automotores e motocicletas",51313
2017,Construção,8812
2017,Indústria de transformação,38841
2017,Informação e comunicação,5847
2017,"Transporte, armazenagem e correio",8323
2019,Alojamento e alimentação,6819
2019,"Artes, cultura, esporte e recreação, outras atividades de serviços",3307
2019,"Atividades imobiliárias, atividades profissionais, científicas e técnicas, atividades administrativas e serviços complementares",19152
2019,"Comércio, reparação de veículos automotores e motocicletas",56011
2019,Construção,9025
2019,Indústria de transformação,34173
2019,Informação e comunicação,6715
2019,"Transporte, armazenagem e correio",8988
2021,Alojamento e alimentação,9113
2021,"Artes, cultura, esporte e recreação, outras atividades de serviços",3278
2021,"Atividades imobiliárias, atividades profissionais, científicas e técnicas, atividades administrativas e serviços complementares",24582
2021,"Comércio, reparação de veículos automotores e motocicletas",64959
2021,Construção,8961
2021,Indústria de transformação,37426
2021,Informação e comunicação,7847
2021,"Transporte, armazenagem e correio",10215
2023,Alojamento e alimentação,6477
2023,"Artes, cultura, esporte e recreação, outras atividades de serviços",3069
2023,"Atividades imobiliárias, atividades profissionais, científicas e técnicas, atividades administrativas e serviços complementares",26501
2023,"Comércio, reparação de veículos automotores e motocicletas",59517
2023,Construção,8826
2023,Indústria de transformação,35155
2023,Informação e comunicação,7655
2023,"Transporte, armazenagem e correio",8832
2024,Alojamento e alimentação,10772
2024,"Artes, cultura, esporte e recreação, outras atividades de serviços",3839
2024,"Atividades imobiliárias, atividades profissionais, científicas e técnicas, atividades administrativas e serviços complementares",25131
2024,"Comércio, reparação de veículos automotores e motocicletas",66503
2024,Construção,10296
2024,Indústria de transformação,41112
2024,Informação e comunicação,7962
2024,"Transporte, armazenagem e correio",8235
