tem_cmo;Área de vínculo do CMO
Não;Transformação Digital
Não;RH
Não;Nenhum
Em progresso;RH
Não;TI
Não;RH
Não;Nenhum
Não;Gestão Estratégica
Sim;Outro
Não;TI
Não;PMO
Não;Outro
Não;Qualidade e Melhoria de Processos
Não;Qualidade e Melhoria de Processos
Sim;RH
Em progresso;TI
Não;TI
Não;PMO
Não;Nenhum
Não;PMO
Não;Transformação Digital
Em progresso;TI
Não;RH
Não;TI
Não;PMO
Não;Gestão Estratégica
Não;TI
Sim;Nenhum
Em progresso;Qualidade e Melhoria de Processos
Não;Nenhum
Não;Qualidade e Melhoria de Processos
Não;Nenhum
Sim;RH
Não;Nenhum
Sim;TI
Não;TI
Não;Nenhum
Sim;Nenhum
Em progresso;PMO
Em progresso;RH
Não;TI
Não;RH
Não;RH
Não;Transformação Digital
Não;PMO
Sim;TI
Não;TI
Em progresso;TI
Não;PMO
Não;Gestão Estratégica
Não;TI
Sim;Gestão Estratégica
Não;RH
Não;Transformação Digital
Não;RH
Não;Outro
Não;PMO
Sim;RH
Não;Nenhum
Sim;RH
Não;RH
Não;Qualidade e Melhoria de Processos
Não;Qualidade e Melhoria de Processos
Não;Qualidade e Melhoria de Processos
Sim;Qualidade e Melhoria de Processos
Não;Nenhum
Não;RH
Não;RH
Sim;Qualidade e Melhoria de Processos
Sim;Transformação Digital
Não;RH
Não;TI
Não;PMO
Em progresso;Transformação Digital
Não;Gestão Estratégica
Sim;Gestão Estratégica
Não;TI
Não;RH
Não;PMO
Em progresso;RH
Não;RH
Não;PMO
Sim;Gestão Estratégica
Sim;RH
Não;Gestão Estratégica
Não;TI
Não;Outro
Não;PMO
Não;TI
Não;Gestão Estratégica
Não;RH
Não;TI
Não;Nenhum
Não;PMO
Em progresso;Qualidade e Melhoria de Processos
Não;RH
Sim;Outro
Não;Nenhum
Não;PMO
Em progresso;RH
Não;TI
Não;Transformação Digital
Não;Nenhum
Não;Outro
Não;Transformação Digital
Não;Outro
Não;TI
Em progresso;Qualidade e Melhoria de Processos
Não;Gestão Estratégica
Em progresso;TI
Não;Transformação Digital
Não;PMO
Não;Transformação Digital
