id_totais;ano_pesquisa;cd_variavel;contexto;qtd_resposta_sim
260;2017;b18a;Software de escritório;20
261;2019;b18a;Software de escritório;27
262;2021;b18a;Software de escritório;32
263;2023;b18a;Software de escritório;34
264;2024;b18a;Software de escritório;35
265;2025;b18a;Software de escritório;38
266;2017;b18b;Aramazenamento ou Banco de Dados;25
267;2019;b18b;Aramazenamento ou Banco de Dados;38
268;2021;b18b;Aramazenamento ou Banco de Dados;45
269;2023;b18b;Aramazenamento ou Banco de Dados;48
270;2024;b18b;Aramazenamento ou Banco de Dados;49
271;2025;b18b;Aramazenamento ou Banco de Dados;54
272;2017;b18c;Capacidade de processamento;16
273;2019;b18c;Capacidade de processamento;23
274;2021;b18c;Capacidade de processamento;29
275;2023;b18c;Capacidade de processamento;33
276;2024;b18c;Capacidade de processamento;33
277;2025;b18c;Capacidade de processamento;36
278;2021;b18d;Ambiente de desenvolvimento;22
279;2023;b18d;Ambiente de desenvolvimento;24
280;2024;b18d;Ambiente de desenvolvimento;22
281;2025;b18d;Ambiente de desenvolvimento;26
228;2014;e1;Compraram pela internet;62
229;2015;e1;Compraram pela internet;63
230;2017;e1;Compraram pela internet;66
231;2019;e1;Compraram pela internet;70
232;2021;e1;Compraram pela internet;77
233;2023;e1;Compraram pela internet;73
234;2024;e1;Compraram pela internet;72
235;2025;e1;Compraram pela internet;78
236;2014;e2b;Venderam pela internet;21
237;2015;e2b;Venderam pela internet;21
238;2017;e2b;Venderam pela internet;22
239;2019;e2b;Venderam pela internet;57
240;2021;e2b;Venderam pela internet;73
241;2023;e2b;Venderam pela internet;70
242;2024;e2b;Venderam pela internet;61
243;2025;e2b;Venderam pela internet;68
244;2014;g2;Plataformas ERPs;29
245;2015;g2;Plataformas ERPs;28
246;2017;g2;Plataformas ERPs;27
247;2019;g2;Plataformas ERPs;29
248;2021;g2;Plataformas ERPs;33
249;2023;g2;Plataformas ERPs;33
250;2024;g2;Plataformas ERPs;34
251;2025;g2;Plataformas ERPs;36
252;2014;g3;Aplicação de CRM;23
253;2015;g3;Aplicação de CRM;20
254;2017;g3;Aplicação de CRM;21
255;2019;g3;Aplicação de CRM;22
256;2021;g3;Aplicação de CRM;27
257;2023;g3;Aplicação de CRM;28
258;2024;g3;Aplicação de CRM;25
259;2025;g3;Aplicação de CRM;31
459;2019;h1;Análise de Big Data;10
460;2021;h1;Análise de Big Data;6
461;2023;h1;Análise de Big Data;7
462;2024;h1;Análise de Big Data;6
463;2025;h1;Análise de Big Data;6
464;2019;h1;Análise de Big Data;10
465;2021;h1;Análise de Big Data;6
466;2023;h1;Análise de Big Data;7
467;2024;h1;Análise de Big Data;6
468;2025;h1;Análise de Big Data;6
282;2021;h10a;Marketing ou vendas;41
283;2023;h10a;Marketing ou vendas;47
284;2024;h10a;Marketing ou vendas;37
285;2025;h10a;Marketing ou vendas;44
