Ano pesquisa;Mercado de atuação;% de Empresas que utilizam;valor
2023;Informação e Comunicação;24;24 %
2023;Informação e Comunicação;23;23 %
2024;Informação e Comunicação;23;23 %
2024;Informação e Comunicação;22;22 %
2025;Informação e Comunicação;20;20 %
2023;Informação e Comunicação;18;18 %
2021;Informação e Comunicação;16;16 %
2025;Informação e Comunicação;16;16 %
2021;Atividades administrativas, profissionai;15;15 %
2024;Atividades administrativas, profissionai;15;15 %
2023;Comércio e reparação de veículos, objeto;14;14 %
2024;Atividades administrativas, profissionai;14;14 %
2024;Informação e Comunicação;14;14 %
2021;Comércio e reparação de veículos, objeto;13;13 %
2023;Comércio e reparação de veículos, objeto;13;13 %
2023;Atividades administrativas, profissionai;13;13 %
2023;Alojamento e Alimentação;13;13 %
2023;Transporte, Armazenagem e Correio;12;12 %
2023;Alojamento e Alimentação;12;12 %
2023;Artes, cultura, esportes, recreação e ou;12;12 %
2024;Transporte, Armazenagem e Correio;12;12 %
2021;Atividades administrativas, profissionai;12;12 %
2023;Atividades administrativas, profissionai;12;12 %
2024;Artes, cultura, esportes, recreação e ou;12;12 %
2025;Comércio e reparação de veículos, objeto;12;12 %
2023;Alojamento e Alimentação;12;12 %
2021;Transporte, Armazenagem e Correio;11;11 %
2025;Comércio e reparação de veículos, objeto;11;11 %
2021;Informação e Comunicação;11;11 %
2023;Indústria de Transformação;11;11 %
2025;Artes, cultura, esportes, recreação e ou;11;11 %
2023;Indústria de Transformação;10;10 %
2024;Artes, cultura, esportes, recreação e ou;10;10 %
2025;Atividades administrativas, profissionai;10;10 %
2021;Comércio e reparação de veículos, objeto;10;10 %
2021;Transporte, Armazenagem e Correio;10;10 %
2023;Transporte, Armazenagem e Correio;10;10 %
2024;Comércio e reparação de veículos, objeto;10;10 %
2021;Atividades administrativas, profissionai;10;10 %
2023;Comércio e reparação de veículos, objeto;10;10 %
2024;Atividades administrativas, profissionai;10;10 %
2021;Artes, cultura, esportes, recreação e ou;9;9 %
2024;Indústria de Transformação;9;9 %
2024;Comércio e reparação de veículos, objeto;9;9 %
2024;Alojamento e Alimentação;9;9 %
2025;Indústria de Transformação;9;9 %
2025;Transporte, Armazenagem e Correio;9;9 %
2025;Artes, cultura, esportes, recreação e ou;9;9 %
2021;Indústria de Transformação;9;9 %
2024;Indústria de Transformação;9;9 %
2024;Transporte, Armazenagem e Correio;9;9 %
2025;Atividades administrativas, profissionai;9;9 %
2023;Transporte, Armazenagem e Correio;9;9 %
2025;Informação e Comunicação;9;9 %
2021;Indústria de Transformação;8;8 %
2021;Alojamento e Alimentação;8;8 %
2024;Construção;8;8 %
2021;Alojamento e Alimentação;8;8 %
2021;Artes, cultura, esportes, recreação e ou;8;8 %
2025;Transporte, Armazenagem e Correio;8;8 %
2021;Informação e Comunicação;8;8 %
2023;Indústria de Transformação;8;8 %
2023;Atividades administrativas, profissionai;8;8 %
2023;Artes, cultura, esportes, recreação e ou;8;8 %
2024;Artes, cultura, esportes, recreação e ou;8;8 %
2025;Artes, cultura, esportes, recreação e ou;8;8 %
2025;Construção;7;7 %
2025;Alojamento e Alimentação;7;7 %
2023;Construção;7;7 %
2023;Artes, cultura, esportes, recreação e ou;7;7 %
2024;Alojamento e Alimentação;7;7 %
2025;Indústria de Transformação;7;7 %
2025;Alojamento e Alimentação;7;7 %
2021;Comércio e reparação de veículos, objeto;7;7 %
2021;Transporte, Armazenagem e Correio;7;7 %
2021;Alojamento e Alimentação;7;7 %
2021;Artes, cultura, esportes, recreação e ou;7;7 %
2025;Comércio e reparação de veículos, objeto;7;7 %
2025;Atividades administrativas, profissionai;7;7 %
2023;Construção;6;6 %
2021;Construção;6;6 %
2025;Construção;6;6 %
2023;Construção;6;6 %
2024;Indústria de Transformação;6;6 %
2024;Transporte, Armazenagem e Correio;6;6 %
2025;Indústria de Transformação;6;6 %
2025;Transporte, Armazenagem e Correio;6;6 %
2025;Alojamento e Alimentação;6;6 %
2021;Construção;5;5 %
2024;Construção;5;5 %
2021;Indústria de Transformação;5;5 %
2024;Construção;5;5 %
2024;Comércio e reparação de veículos, objeto;5;5 %
2024;Alojamento e Alimentação;5;5 %
2025;Construção;4;4 %
2021;Construção;3;3 %
