cd_variavel,Ano pesquisa,Aplicação,% de Empresas que utilizaram
h8a,2021,"Gerenciamentos de consumos, medidores inteligentes",44
h8a,2023,"Gerenciamentos de consumos, medidores inteligentes",46
h8a,2024,"Gerenciamentos de consumos, medidores inteligentes",50
h8a,2025,"Gerenciamentos de consumos, medidores inteligentes",48
h8b,2021,Dispositivos de segurança,85
h8b,2023,Dispositivos de segurança,84
h8b,2024,Dispositivos de segurança,84
h8b,2025,Dispositivos de segurança,90
h8c,2021,Automatização de processos de produção,29
h8c,2023,Automatização de processos de produção,27
h8c,2024,Automatização de processos de produção,32
h8c,2025,Automatização de processos de produção,28
h8d,2021,Gestão de logística,39
h8d,2023,Gestão de logística,39
h8d,2024,Gestão de logística,43
h8d,2025,Gestão de logística,37
h8e,2021,Monitoramento e manutenção de equipamentos,38
h8e,2023,Monitoramento e manutenção de equipamentos,38
h8e,2024,Monitoramento e manutenção de equipamentos,44
h8e,2025,Monitoramento e manutenção de equipamentos,28
h8f,2021,Atendimento ao cliente,31
h8f,2023,Atendimento ao cliente,33
h8f,2024,Atendimento ao cliente,40
h8f,2025,Atendimento ao cliente,32
