Ano pesquisa;Porte empresa;% de Empresas que utilizam;Proporção
2017;10 a 49 pessoas ocupadas;24;24 %
2019;10 a 49 pessoas ocupadas;36;36 %
2021;10 a 49 pessoas ocupadas;43;43 %
2023;10 a 49 pessoas ocupadas;46;46 %
2024;10 a 49 pessoas ocupadas;47;47 %
2025;10 a 49 pessoas ocupadas;52;52 %
2017;250  pessoas ocupadas ou mais;38;38 %
2019;250  pessoas ocupadas ou mais;54;54 %
2021;250  pessoas ocupadas ou mais;63;63 %
2023;250  pessoas ocupadas ou mais;65;65 %
2024;250  pessoas ocupadas ou mais;68;68 %
2025;250  pessoas ocupadas ou mais;69;69 %
2017;50 a 249 pessoas ocupadas;33;33 %
2019;50 a 249 pessoas ocupadas;48;48 %
2021;50 a 249 pessoas ocupadas;58;58 %
2023;50 a 249 pessoas ocupadas;63;63 %
2024;50 a 249 pessoas ocupadas;62;62 %
2025;50 a 249 pessoas ocupadas;67;67 %
