Ano pesquisa;Porte empresa;% de Empresas que utilizam;Proporção
2021;10 a 49 pessoas ocupadas;21;21 %
2023;10 a 49 pessoas ocupadas;22;22 %
2024;10 a 49 pessoas ocupadas;20;20 %
2025;10 a 49 pessoas ocupadas;24;24 %
2021;250  pessoas ocupadas ou mais;38;38 %
2023;250  pessoas ocupadas ou mais;43;43 %
2024;250  pessoas ocupadas ou mais;40;40 %
2025;250  pessoas ocupadas ou mais;45;45 %
2021;50 a 249 pessoas ocupadas;28;28 %
2023;50 a 249 pessoas ocupadas;32;32 %
2024;50 a 249 pessoas ocupadas;37;37 %
2025;50 a 249 pessoas ocupadas;35;35 %
