ano_pesquisa;Obstáculo;% de Empresas que utilizam;valor
2021;Custos;16;16 %
2021;Dificuldade com os dados;14;14 %
2021;Falta de conhecimento técnico;16;16 %
2021;Limitação tecnológica;19;19 %
2021;Não enxergam utilidade;18;18 %
2021;Por falta de pessoas capacitadas;14;14 %
2021;Preocupação com LGPD;11;11 %
2021;Preocupação com consequências legais;9;9 %
2021;Questões éticas;7;7 %
2023;Custos;17;17 %
2023;Dificuldade com os dados;16;16 %
2023;Falta de conhecimento técnico;18;18 %
2023;Limitação tecnológica;19;19 %
2023;Não enxergam utilidade;17;17 %
2023;Por falta de pessoas capacitadas;17;17 %
2023;Preocupação com LGPD;12;12 %
2023;Preocupação com consequências legais;12;12 %
2023;Questões éticas;9;9 %
2024;Custos;15;15 %
2024;Dificuldade com os dados;11;11 %
2024;Falta de conhecimento técnico;14;14 %
2024;Limitação tecnológica;14;14 %
2024;Não enxergam utilidade;15;15 %
2024;Por falta de pessoas capacitadas;14;14 %
2024;Preocupação com LGPD;10;10 %
2024;Preocupação com consequências legais;10;10 %
2024;Questões éticas;6;6 %
2025;Custos;13;13 %
2025;Dificuldade com os dados;10;10 %
2025;Falta de conhecimento técnico;14;14 %
2025;Limitação tecnológica;13;13 %
2025;Não enxergam utilidade;13;13 %
2025;Por falta de pessoas capacitadas;14;14 %
2025;Preocupação com LGPD;10;10 %
2025;Preocupação com consequências legais;9;9 %
2025;Questões éticas;7;7 %
