cd_variavel;Ano pesquisa;Tipo de serviço;% de Empresas que utilizam
h3ba;2021;Vigilância, segurança ou inspeção;45
h3ba;2023;Vigilância, segurança ou inspeção;34
h3ba;2024;Vigilância, segurança ou inspeção;29
h3ba;2025;Vigilância, segurança ou inspeção;38
h3bb;2021;Transporte de pessoas ou mercadorias;27
h3bb;2023;Transporte de pessoas ou mercadorias;8
h3bb;2024;Transporte de pessoas ou mercadorias;17
h3bb;2025;Transporte de pessoas ou mercadorias;14
h3bc;2021;Limpeza ou eliminação de resíduos;25
h3bc;2023;Limpeza ou eliminação de resíduos;42
h3bc;2024;Limpeza ou eliminação de resíduos;48
h3bc;2025;Limpeza ou eliminação de resíduos;22
h3bd;2021;Gerenciamento de estoque;41
h3bd;2023;Gerenciamento de estoque;38
h3bd;2024;Gerenciamento de estoque;50
h3bd;2025;Gerenciamento de estoque;37
h3be;2021;Trabalhos de montagem;29
h3be;2023;Trabalhos de montagem;26
h3be;2024;Trabalhos de montagem;39
h3be;2025;Trabalhos de montagem;30
h3bf;2021;Atendimento ao cliente;3
h3bf;2023;Atendimento ao cliente;3
h3bf;2024;Atendimento ao cliente;6
h3bf;2025;Atendimento ao cliente;7
h3bg;2021;Construção e reparos;15
h3bg;2023;Construção e reparos;31
h3bg;2024;Construção e reparos;30
h3bg;2025;Construção e reparos;29
